rank,feature,direction,churn_mean,nonchurn_mean,lift_vs_nonchurn
1,days_since_last_event_before_anchor,↑ in churners,27.74186550976139,5.012946457614989,4.534043849125839
2,purchase_amount_sum,↓ in churners,3131.870065075922,75937.83364777829,-0.9587574478407898
3,search_to_purchase_rate,↓ in churners,0.012835490095513326,0.25193862137502665,-0.9490531065643688
4,purchase_count,↓ in churners,0.05054229934924078,0.9399518573937935,-0.9462288425181907
5,review_count,↓ in churners,0.05509761388286334,1.0221846334005595,-0.9460981782717991
