transition,nonchurn_n,churn_n,churn_rate,nonchurn_rate,lift
review → review,762,5,0.0010845986984815619,0.04957387287749659,-0.9781215661491337
purchase → review,866,6,0.0013015184381778742,0.05633986077678746,-0.9768987991764063
purchase → cs_contact,565,4,0.0008676789587852494,0.03675753041441676,-0.9763945251761273
remove_from_cart → purchase,854,9,0.0019522776572668114,0.05555916986533082,-0.9648612882086087
cs_contact → purchase,581,7,0.0015184381778741865,0.037798451629692274,-0.9598280323027468
